datetime,domain
2018-08-28 09:40:21,tokyo.example.com
2018-08-28 09:44:49,tokyo.example.com
2018-08-28 09:44:52,tokyo.example.com
2018-08-28 09:46:31,osaka.example.com
2018-08-28 09:46:56,tokyo.example.com
2018-08-28 09:47:33,tokyo.example.com
2018-08-28 09:54:27,tokyo.example.com
2018-08-28 09:54:32,tokyo.example.com
2018-08-28 09:55:29,tokyo.example.com
2018-08-28 09:58:47,tokyo.example.com
2018-08-28 10:00:40,tokyo.example.com
2018-08-28 10:01:40,tokyo.example.com
2018-08-28 10:01:45,tokyo.example.com
2018-08-28 10:06:45,tokyo.example.com
2018-08-28 10:08:16,tokyo.example.com
2018-08-28 10:08:42,tokyo.example.com
2018-08-28 10:10:19,tokyo.example.com
2018-08-28 10:13:46,tokyo.example.com
2018-08-28 10:14:12,tokyo.example.com
2018-08-28 10:14:42,tokyo.example.com
2018-08-28 10:16:49,tokyo.example.com
2018-08-28 10:17:36,tokyo.example.com
2018-08-28 10:19:28,tokyo.example.com
2018-08-28 10:21:17,tokyo.example.com
2018-08-28 10:24:43,tokyo.example.com
2018-08-28 10:25:20,tokyo.example.com
2018-08-28 10:25:40,tokyo.example.com
2018-08-28 10:25:49,tokyo.example.com
2018-08-28 10:26:12,tokyo.example.com
2018-08-28 10:29:09,tokyo.example.com
2018-08-28 10:29:28,tokyo.example.com
2018-08-28 10:29:29,tokyo.example.com
2018-08-28 10:29:42,tokyo.example.com
2018-08-28 10:29:46,tokyo.example.com
2018-08-28 10:37:19,tokyo.example.com
2018-08-28 10:37:46,tokyo.example.com
2018-08-28 10:37:49,tokyo.example.com
2018-08-28 10:37:52,tokyo.example.com
2018-08-28 10:37:58,tokyo.example.com
2018-08-28 10:38:01,tokyo.example.com
2018-08-28 10:38:06,tokyo.example.com
2018-08-28 10:39:22,tokyo.example.com
2018-08-28 10:40:06,tokyo.example.com
2018-08-28 10:41:22,tokyo.example.com
2018-08-28 10:41:25,tokyo.example.com
2018-08-28 10:42:46,tokyo.example.com
2018-08-28 10:50:28,tokyo.example.com
2018-08-28 10:51:34,tokyo.example.com
2018-08-28 10:52:56,tokyo.example.com
2018-08-28 10:52:58,tokyo.example.com
2018-08-28 11:02:50,tokyo.example.com
2018-08-28 11:02:54,tokyo.example.com
2018-08-28 11:03:37,tokyo.example.com
2018-08-28 11:04:13,tokyo.example.com
2018-08-28 11:04:18,tokyo.example.com
2018-08-28 11:06:02,tokyo.example.com
2018-08-28 11:06:43,tokyo.example.com
2018-08-28 11:12:04,tokyo.example.com
2018-08-28 11:12:38,tokyo.example.com
2018-08-28 11:12:40,tokyo.example.com
2018-08-28 11:13:58,tokyo.example.com
2018-08-28 11:15:32,tokyo.example.com
2018-08-28 11:21:36,tokyo.example.com
2018-08-28 11:24:34,tokyo.example.com
2018-08-28 11:24:39,tokyo.example.com
2018-08-28 11:29:20,tokyo.example.com
2018-08-28 11:29:26,tokyo.example.com
2018-08-28 11:29:45,tokyo.example.com
2018-08-28 11:30:36,tokyo.example.com
2018-08-28 11:30:38,tokyo.example.com
2018-08-28 11:30:40,tokyo.example.com
2018-08-28 11:32:37,tokyo.example.com
2018-08-28 11:35:52,tokyo.example.com
2018-08-28 11:40:31,tokyo.example.com
2018-08-28 11:41:56,tokyo.example.com
2018-08-28 11:43:22,tokyo.example.com
2018-08-28 11:43:27,tokyo.example.com
2018-08-28 11:55:47,tokyo.example.com
2018-08-28 11:55:59,tokyo.example.com
2018-08-28 11:56:03,tokyo.example.com
2018-08-28 12:00:54,tokyo.example.com
2018-08-28 12:00:57,tokyo.example.com
2018-08-28 12:22:30,tokyo.example.com
